meijer_ton_yr,calibrated_ton_yr,calibrated_lower,calibrated_upper,ratio_meijer_calib,rank_meijer,rank_calibrated,rank_change,lat,lon
0.164904,1.2203656165522085,0.34441769090171703,4.936934824789982,0.13512671757000885,28386,28386,0,-46.58083333900163,168.7979166666571
0.124932,1.0015969746987532,0.26960283567896254,4.244185380945358,0.12473280486652365,30263,30263,0,-46.44708333475944,168.34874999999045
1.21337,5.050531856833151,1.9430497866922884,14.334426315115504,0.2402459848576864,16261,16261,0,-46.41875000142471,168.33708333332402
0.121138,0.9798541147257505,0.26236646166288907,4.173581448852906,0.1236286077483127,30484,30484,0,-46.357916668088365,168.02124999999046
0.197533,1.3876846720807625,0.4038878311815951,5.447341503348713,0.14234718014418168,27237,27237,0,-46.3437500014208,169.81124999999054
0.179718,1.2974127716891355,0.3715749152244057,5.173878352553165,0.13852029509931557,27849,27849,0,-46.05291666807267,170.1970833333237
0.382871,2.222457178362754,0.7219212378087595,7.806156423952658,0.1722737354526014,23022,23022,0,-45.92875000139975,170.3920833333234
0.144652,1.1117092782443905,0.306817323227035,4.5967111613631095,0.13011675159213765,29262,29262,0,-45.888750001397625,170.50958333332358
0.593496,3.0360602311679483,1.0533048078371061,9.818701216378438,0.19548228783711805,20350,20350,0,-45.875416668063735,170.51708333332385
0.236202,1.5759684086594605,0.4729100568675117,6.004755076987644,0.14987736981410466,26047,26047,0,-44.42166667191185,171.25958333332346
0.102279,0.8686765894936253,0.22597938806228324,3.8065453882702065,0.11774117230397696,31660,31660,0,-44.36125000132256,171.25708333332352
0.129572,1.027931158563529,0.27841776993991324,4.329216877628865,0.12605124275157586,30003,30003,0,-44.28125000131877,171.350416666657
0.376397,2.195647201795699,0.7113883867910195,7.736804018836163,0.17142872483892932,23124,23124,0,-43.85625000129852,172.3787499999903
2.26848,7.883645566783344,3.322580343515186,20.379056170553635,0.28774505154797014,13015,13015,0,-43.5512500012843,172.75041666665675
2.85002,9.273905060239201,4.023854244925958,23.051108702811902,0.30731606388975585,11910,11910,0,-43.48791666794807,172.72458333332338
0.503895,2.70225667286635,0.9147374388121156,9.012794347369454,0.18647192365538917,21317,21317,0,-43.391250001276774,172.70708333332357
0.207065,1.4350153095191214,0.4210344843272629,5.589046802006349,0.14429462781786503,26929,26929,0,-42.88375000125353,147.33791666665775
0.10896,0.9086888661995012,0.23895350736513385,3.9398474258927902,0.11990902943018783,31229,31229,0,-42.77791666791535,147.45791666665787
0.499766,2.686479701029014,0.9082738451877903,8.974072119318787,0.18603006745540362,21372,21372,0,-42.43875000123336,171.19208333332335
0.362587,2.13800830607545,0.6888358807026069,7.581169233232993,0.16959101560534554,23346,23346,0,-41.50125000119209,174.06208333332324
0.446126,2.4779456956974037,0.8236074103757695,8.456417729540528,0.18003865087706872,22043,22043,0,-41.41124999444696,174.88541666665674
0.384108,2.2275648885381423,0.7239309592361833,7.819343942205319,0.17243403412237926,23001,23001,0,-41.37041666785308,175.12458333332347
0.247236,1.628015615900283,0.49240595938544546,6.155766398563639,0.15186340817946023,25736,25736,0,-41.343333338027264,174.77291666665656
0.298863,1.8632532578802408,0.5823702801702232,6.824635679119315,0.1603984851420607,24582,24582,0,-41.34041666785157,174.67791666665676
0.253982,1.6595060694929258,0.5042758625864807,6.246563975090884,0.15304674364800971,25572,25572,0,-41.32958333451796,174.80541666665658
0.165286,1.2223768148275862,0.3451214866108013,4.943163587740885,0.13521689710984353,28364,28364,0,-41.30791666785029,173.21874999999
0.306686,1.8978334159982082,0.5953993591614595,6.921229130597246,0.1615979555501143,24409,24409,0,-41.29791666784996,173.2195833333235
1.08666,4.669264800109333,1.7688943688294114,13.47448031390838,0.23272614566099473,16870,16870,0,-41.287083334516126,174.78041666665683
0.836801,3.876987782510046,1.4160927876142513,11.752555205286914,0.21583792545723138,18307,18307,0,-41.26291666784829,173.2862499999901
1.20911,5.037906280138707,1.9372401203486633,14.306092133289381,0.24000247975369438,16278,16278,0,-41.26375001003271,174.78874999999005
0.617929,3.1244916551795914,1.0905715803377285,10.028190861787053,0.19776945122437278,20098,20098,0,-41.247916667847676,174.81458333332353
2.08366,7.420971493696188,3.0945795696071525,19.42836311688934,0.2807799493327773,13462,13462,0,-41.23875000118062,174.90041666665684
2.42931,8.277473327685687,3.5184959000406373,21.179072618043207,0.29348448540144256,12668,12668,0,-41.23625000118062,174.89624999999023
0.119185,0.9685853525766489,0.25863109821254027,4.136844267553025,0.12305059092927828,30606,30606,0,-41.23041666784684,174.8879166666568
0.271711,1.741140333461356,0.5353007025323246,6.4800791746095046,0.15605347528756822,25176,25176,0,-41.17541666784456,146.36458333332462
1.99405,7.19241001296576,2.9782437443108827,18.954152427101505,0.2772436494033746,13666,13666,0,-41.09541666784122,174.86291666665704
0.165719,1.2246549040670005,0.34591901302656003,4.9502160237818496,0.13531893715499593,28349,28349,0,-41.09583333798537,174.86541666665676
0.56945,2.947998471916146,1.016420764656272,9.60847611200991,0.19316495765680225,20603,20603,0,-40.891250001165645,174.98041666665665
0.1993,1.3965074848056078,0.40707362609457687,5.473841306605556,0.14271316277817325,27176,27176,0,-40.87375000116498,175.00708333332375
0.113427,0.9350468215220553,0.24757567660045499,4.02690312717615,0.12130622487477709,30940,30940,0,-40.72791666782547,175.12374999998997
0.412065,2.3417744136517267,0.7691196007724264,8.112172140638078,0.17596272194187665,22554,22554,0,-40.59458333448646,175.18291666665687
1.26618,5.20600454424592,2.0148227355187913,14.682134062938877,0.2432153082539047,16032,16032,0,-40.474583334481395,175.23624999999015
0.214379,1.470907364461276,0.4341281626972121,5.695775956702698,0.14574609195631902,26714,26714,0,-40.29458333447383,175.2279166666567
1.28799,5.269665116725286,2.044333627725512,14.8238778530807,0.2444159109678666,15935,15935,0,-39.94624999724522,174.98916666665684
0.138492,1.0778066822197356,0.2952607385552782,4.488985374506985,0.12849428592776643,29558,29558,0,-39.772083334452134,174.48958333332337
0.131471,1.038630145475238,0.28201465052209107,4.363616146690938,0.1265811516955767,29897,29897,0,-39.59791666777835,176.94541666665668
0.121175,0.9800670959374516,0.2624371601279208,4.174274825102359,0.1236394941757472,30480,30480,0,-39.586250001111125,174.1954166666569
1.10677,4.730597695482617,1.7967276163472596,13.611733086680218,0.2339598653795664,16767,16767,0,-39.56791666777701,176.92874999999026
0.259979,1.687298184130727,0.5147973911134831,6.326361080546609,0.15408005677072287,25430,25430,0,-39.53375000110901,176.91958333332343
0.313279,1.9267794544880776,0.6066659366010907,7.001766026133478,0.16259203889177576,24278,24278,0,-39.47916667047775,176.89416666325894
0.195353,1.3767682828422791,0.3999527918992575,5.4144988220531465,0.1418924320341707,27314,27314,0,-39.06791666775666,174.0187499999903
0.483597,2.624331700143225,0.8828909538943757,8.820948832690227,0.18427434305412205,21557,21557,0,-39.05874999815313,174.04499999999007
0.828541,3.8497136985624394,1.404182984277639,11.69170447119566,0.21522145927615186,18372,18372,0,-39.05541666775616,174.07208333332323
0.500877,2.690728532543451,0.91001374296643,8.984506151323831,0.1861492134721367,21360,21360,0,-39.049583334422664,174.09041666665678
0.202675,1.4132968205030074,0.4131493371986338,5.524161000040422,0.14340582746649483,27076,27076,0,-39.04875000108939,177.4304166666567
0.324303,1.9747905472188745,0.6254420786599123,7.134722725217536,0.16422146665463866,24069,24069,0,-39.03625000108889,174.10791666665682
0.160131,1.1951215614855915,0.3356075784150122,4.858546769413528,0.13398720695905592,28584,28584,0,-39.01875000108811,174.14541666665707
0.120989,0.9789962436917825,0.26208173128558093,4.170788225898437,0.12358474384309383,30493,30493,0,-38.99541666490046,174.1833333333234
0.239999,1.5939563498774243,0.4796305486628735,6.057094710555628,0.1505681131220789,25942,25942,0,-38.987916667753495,174.22958333332326
0.104636,0.8828762443859424,0.23056762047968668,3.854014278541665,0.11851717685843545,31503,31503,0,-38.71000000333464,177.93583333719357
0.617042,3.121299147134654,1.0892222789255497,10.020655510346206,0.1976875560186031,20108,20108,0,-38.6745833344076,178.02291666665678
0.110947,0.9204510849269685,0.24279384057195944,3.9787684839336497,0.12053546550906928,31085,31085,0,-38.34875000106132,142.36874999999156
0.116891,0.9552807826233473,0.25423430382754764,4.093340231217903,0.12236297654706234,30729,30729,0,-38.347916667727986,141.61541666665823
0.338561,2.0361944455328134,0.6493132828392545,7.303663860588413,0.16627144855579268,23768,23768,0,-38.07291666771715,145.12041666665823
0.19372,1.3685679861335496,0.39700173629786983,5.389787554460682,0.1415494165893021,27362,27362,0,-38.063750001050096,147.45874999999126
4.33865,12.506819998324309,5.853451118836015,28.769252383706977,0.34690272991706145,10023,10023,0,-38.0112500010481,145.08541666665815
0.202907,1.4144479580356362,0.4135665463266433,5.52760595379801,0.14345313933062206,27071,27071,0,-38.00125000104765,144.61291666665807
0.246314,1.623692575954127,0.49078078055865454,6.143269453449844,0.15169989913593035,25767,25767,0,-37.992083334380595,177.27624999999
0.835071,3.871281864187042,1.413599813185498,11.739834226710071,0.21570917057866115,18323,18323,0,-37.94291666771204,177.00541666665663
0.270435,1.7353172981659426,0.5330757324906381,6.463509147618162,0.15584181652878284,25207,25207,0,-37.90958333437743,176.88041666665674
0.364923,2.147801970497969,0.6926589224119784,7.607696745561569,0.16990532880244655,23309,23309,0,-37.89041666771004,176.78874999999005
