lon,lat
168.7979166666571,-46.58083333900163
168.34874999999045,-46.44708333475944
168.33708333332402,-46.41875000142471
168.02124999999046,-46.357916668088365
169.81124999999054,-46.3437500014208
170.1970833333237,-46.05291666807267
170.3920833333234,-45.92875000139975
170.50958333332358,-45.888750001397625
170.51708333332385,-45.875416668063735
171.25958333332346,-44.42166667191185
171.25708333332352,-44.36125000132256
171.350416666657,-44.28125000131877
172.3787499999903,-43.85625000129852
172.75041666665675,-43.5512500012843
172.72458333332338,-43.48791666794807
172.70708333332357,-43.391250001276774
147.33791666665775,-42.88375000125353
147.45791666665787,-42.77791666791535
171.19208333332335,-42.43875000123336
174.06208333332324,-41.50125000119209
174.88541666665674,-41.41124999444696
175.12458333332347,-41.37041666785308
174.77291666665656,-41.343333338027264
174.67791666665676,-41.34041666785157
174.80541666665658,-41.32958333451796
173.21874999999,-41.30791666785029
173.2195833333235,-41.29791666784996
174.78041666665683,-41.287083334516126
173.2862499999901,-41.26291666784829
174.78874999999005,-41.26375001003271
174.81458333332353,-41.24791666784768
174.90041666665684,-41.23875000118062
174.89624999999023,-41.23625000118062
174.8879166666568,-41.23041666784684
146.36458333332462,-41.17541666784456
174.86291666665704,-41.09541666784122
174.86541666665676,-41.09583333798537
174.98041666665665,-40.891250001165645
175.00708333332375,-40.87375000116498
175.12374999998997,-40.72791666782547
175.1829166666569,-40.59458333448646
175.23624999999015,-40.474583334481395
175.2279166666567,-40.29458333447383
174.98916666665684,-39.94624999724522
174.48958333332337,-39.772083334452134
176.94541666665668,-39.59791666777835
174.1954166666569,-39.586250001111125
176.92874999999026,-39.56791666777701
176.91958333332343,-39.53375000110901
176.89416666325894,-39.47916667047775
174.0187499999903,-39.06791666775666
174.04499999999007,-39.05874999815313
174.07208333332323,-39.05541666775616
174.09041666665678,-39.049583334422664
177.4304166666567,-39.04875000108939
174.10791666665682,-39.03625000108889
174.14541666665707,-39.01875000108811
174.1833333333234,-38.99541666490046
174.22958333332326,-38.987916667753495
177.93583333719357,-38.71000000333464
178.02291666665678,-38.6745833344076
142.36874999999156,-38.34875000106132
141.61541666665823,-38.347916667727986
145.12041666665823,-38.07291666771715
147.45874999999126,-38.063750001050096
145.08541666665815,-38.0112500010481
144.61291666665807,-38.00125000104765
177.27624999999,-37.992083334380595
177.00541666665663,-37.94291666771204
176.88041666665674,-37.90958333437743
176.78874999999005,-37.89041666771004
144.82041666665782,-37.872083334375986
176.48874999998986,-37.776250001038875
176.41791666665677,-37.74875000103776
176.1529166666567,-37.72375000103676
176.18291666665664,-37.72041666770332
176.1195833333231,-37.6787500010351
176.17208333332314,-37.67375000103493
176.1212499999899,-37.67208333436821
174.77374999999006,-37.343750001022215
